Location,Active,Total
Auckland,104,585
Bay of Plenty,0,48
Canterbury,0,168
Capital and Coast,0,113
Counties Manukau,248,1330
Hawke's Bay,0,44
Hutt Valley,0,24
Lakes,0,16
Mid Central,0,33
Nelson Marlborough,0,49
Northland,0,28
South Canterbury,0,17
Southern,0,217
Tairāwhiti,0,4
Taranaki,0,16
Waikato,42,240
Wairarapa,0,8
Waitematā,239,787
West Coast,0,5
Whanganui,0,9
