DHB,TOTAL
auckland,226
bay_of_plenty,48
canterbury,164
capital_and_coast,95
countries_manukau,214
hawkes_bay,44
huttvalley,22
lakes,16
mid_central,32
nelson_marlborough,49
northland,28
south_canterbury,17
southern,216
tairawhiti,4
taranaki,16
waikato,194
wairarapa,8
waitemata,293
west_coast,5
whanganui,9
